"precip
";prob
157,6;0,03030303
142,8;0,060606061
136;0,090909091
122,5;0,121212121
118,8;0,151515152
112,6;0,181818182
110,1;0,212121212
108,6;0,242424242
108;0,272727273
105,6;0,303030303
97,6;0,333333333
92,8;0,363636364
92,7;0,393939394
92,5;0,424242424
90,8;0,454545455
90;0,484848485
90;0,515151515
89;0,545454545
88;0,575757576
85,8;0,606060606
85,6;0,636363636
80,2;0,666666667
78,6;0,696969697
77,7;0,727272727
74,2;0,757575758
73,8;0,787878788
72,4;0,818181818
69,3;0,848484848
65,6;0,878787879
65;0,909090909
63,8;0,939393939
59,4;0,96969697
58,4;1
